episode name	episode transcript url	episode campaign number	episode number in campaign	episode id
Arrival_at_Kraghammer	https://criticalrole.fandom.com/wiki/Arrival_at_Kraghammer/Transcript	1	1	2153
Into_the_Greyspine_Mines	https://criticalrole.fandom.com/wiki/Into_the_Greyspine_Mines/Transcript	1	2	2239
Strange_Bedfellows	https://criticalrole.fandom.com/wiki/Strange_Bedfellows/Transcript	1	3	2240
Attack_on_the_Duergar_Warcamp	https://criticalrole.fandom.com/wiki/Attack_on_the_Duergar_Warcamp/Transcript	1	4	2241
The_Trick_About_Falling	https://criticalrole.fandom.com/wiki/The_Trick_About_Falling/Transcript	1	5	2242
Breaching_the_Emberhold	https://criticalrole.fandom.com/wiki/Breaching_the_Emberhold/Transcript	1	6	2250
The_Throne_Room	https://criticalrole.fandom.com/wiki/The_Throne_Room/Transcript	1	7	2303
Glass_and_Bone	https://criticalrole.fandom.com/wiki/Glass_and_Bone/Transcript	1	8	2306
Yug'Voril_Uncovered	https://criticalrole.fandom.com/wiki/Yug'Voril_Uncovered/Transcript	1	9	2309
K'varn_Revealed	https://criticalrole.fandom.com/wiki/K'varn_Revealed/Transcript	1	10	2333
The_Temple_Showdown	https://criticalrole.fandom.com/wiki/The_Temple_Showdown/Transcript	1	11	2346
Dungeons_&_Dragons_Campaign_Tips	https://criticalrole.fandom.com/wiki/Dungeons_&_Dragons_Campaign_Tips/Transcript	1	12	2347
Escape_from_the_Underdark	https://criticalrole.fandom.com/wiki/Escape_from_the_Underdark/Transcript	1	13	2364
Shopping_and_Shipping	https://criticalrole.fandom.com/wiki/Shopping_and_Shipping/Transcript	1	14	2375
Skyward	https://criticalrole.fandom.com/wiki/Skyward/Transcript	1	15	2374
Enter_Vasselheim	https://criticalrole.fandom.com/wiki/Enter_Vasselheim/Transcript	1	16	2394
Hubris	https://criticalrole.fandom.com/wiki/Hubris/Transcript	1	17	2398
Trial_of_the_Take:_Part_1	https://criticalrole.fandom.com/wiki/Trial_of_the_Take:_Part_1/Transcript	1	18	2621
Trial_of_the_Take:_Part_2	https://criticalrole.fandom.com/wiki/Trial_of_the_Take:_Part_2/Transcript	1	19	2396
Trial_of_the_Take:_Part_3	https://criticalrole.fandom.com/wiki/Trial_of_the_Take:_Part_3/Transcript	1	20	2395
Trial_of_the_Take:_Part_4	https://criticalrole.fandom.com/wiki/Trial_of_the_Take:_Part_4/Transcript	1	21	2773
Aramente_to_Pyrah	https://criticalrole.fandom.com/wiki/Aramente_to_Pyrah/Transcript	1	22	2774
The_Rematch	https://criticalrole.fandom.com/wiki/The_Rematch/Transcript	1	23	2776
The_Feast	https://criticalrole.fandom.com/wiki/The_Feast/Transcript	1	24	2775
Crimson_Diplomacy	https://criticalrole.fandom.com/wiki/Crimson_Diplomacy/Transcript	1	25	3034
Consequences_and_Cows	https://criticalrole.fandom.com/wiki/Consequences_and_Cows/Transcript	1	26	3058
The_Path_to_Whitestone	https://criticalrole.fandom.com/wiki/The_Path_to_Whitestone/Transcript	1	27	3147
The_Sun_Tree	https://criticalrole.fandom.com/wiki/The_Sun_Tree/Transcript	1	28	3149
Whispers	https://criticalrole.fandom.com/wiki/Whispers/Transcript	1	29	3150
Stoke_the_Flames	https://criticalrole.fandom.com/wiki/Stoke_the_Flames/Transcript	1	30	3151
Gunpowder_Plot	https://criticalrole.fandom.com/wiki/Gunpowder_Plot/Transcript	1	31	3205
Against_the_Tide_of_Bone	https://criticalrole.fandom.com/wiki/Against_the_Tide_of_Bone/Transcript	1	32	3377
Reunions	https://criticalrole.fandom.com/wiki/Reunions/Transcript	1	33	3379
Race_to_the_Ziggurat	https://criticalrole.fandom.com/wiki/Race_to_the_Ziggurat/Transcript	1	34	3381
Denouement	https://criticalrole.fandom.com/wiki/Denouement/Transcript	1	35	3388
Winter's_Crest_in_Whitestone	https://criticalrole.fandom.com/wiki/Winter's_Crest_in_Whitestone/Transcript	1	36	3389
A_Musician's_Nostalgia	https://criticalrole.fandom.com/wiki/A_Musician's_Nostalgia/Transcript	1	37	3545
Echoes_of_the_Past	https://criticalrole.fandom.com/wiki/Echoes_of_the_Past/Transcript	1	38	3553
Omens	https://criticalrole.fandom.com/wiki/Omens/Transcript	1	39	3649
Desperate_Measures	https://criticalrole.fandom.com/wiki/Desperate_Measures/Transcript	1	40	3681
In_Ruins	https://criticalrole.fandom.com/wiki/In_Ruins/Transcript	1	41	3770
Dangerous_Dealings	https://criticalrole.fandom.com/wiki/Dangerous_Dealings/Transcript	1	42	3794
Return_to_Vasselheim	https://criticalrole.fandom.com/wiki/Return_to_Vasselheim/Transcript	1	43	3848
The_Sunken_Tomb	https://criticalrole.fandom.com/wiki/The_Sunken_Tomb/Transcript	1	44	3849
Those_Who_Walk_Away	https://criticalrole.fandom.com/wiki/Those_Who_Walk_Away/Transcript	1	45	4067
Cindergrove_Revisited	https://criticalrole.fandom.com/wiki/Cindergrove_Revisited/Transcript	1	46	4068
The_Family_Business	https://criticalrole.fandom.com/wiki/The_Family_Business/Transcript	1	47	4076
Into_the_Frostweald	https://criticalrole.fandom.com/wiki/Into_the_Frostweald/Transcript	1	48	4160
A_Name_Is_Earned	https://criticalrole.fandom.com/wiki/A_Name_Is_Earned/Transcript	1	49	4196
Best_Laid_Plans	https://criticalrole.fandom.com/wiki/Best_Laid_Plans/Transcript	1	50	4197
Test_of_Pride	https://criticalrole.fandom.com/wiki/Test_of_Pride/Transcript	1	51	4459
The_Kill_Box	https://criticalrole.fandom.com/wiki/The_Kill_Box/Transcript	1	52	4458
At_Dawn,_We_Plan!	https://criticalrole.fandom.com/wiki/At_Dawn,_We_Plan!/Transcript	1	53	4460
In_the_Belly_of_the_Beast	https://criticalrole.fandom.com/wiki/In_the_Belly_of_the_Beast/Transcript	1	54	4567
Umbrasyl	https://criticalrole.fandom.com/wiki/Umbrasyl/Transcript	1	55	4601
Hope	https://criticalrole.fandom.com/wiki/Hope/Transcript	1	56	4635
Duskmeadow	https://criticalrole.fandom.com/wiki/Duskmeadow/Transcript	1	57	4744
A_Cycle_of_Vengeance	https://criticalrole.fandom.com/wiki/A_Cycle_of_Vengeance/Transcript	1	58	4827
The_Feywild	https://criticalrole.fandom.com/wiki/The_Feywild/Transcript	1	59	4936
Heredity_and_Hats	https://criticalrole.fandom.com/wiki/Heredity_and_Hats/Transcript	1	60	5008
Denizens_of_the_Moonbrush	https://criticalrole.fandom.com/wiki/Denizens_of_the_Moonbrush/Transcript	1	61	5108
Uninviting_Waters	https://criticalrole.fandom.com/wiki/Uninviting_Waters/Transcript	1	62	5158
The_Echo_Tree	https://criticalrole.fandom.com/wiki/The_Echo_Tree/Transcript	1	63	5187
The_Frigid_Doom	https://criticalrole.fandom.com/wiki/The_Frigid_Doom/Transcript	1	64	5243
The_Streets_of_Ank'Harel	https://criticalrole.fandom.com/wiki/The_Streets_of_Ank'Harel/Transcript	1	65	5297
A_Traveler's_Gamble	https://criticalrole.fandom.com/wiki/A_Traveler's_Gamble/Transcript	1	66	5383
The_Chase_to_Glintshore	https://criticalrole.fandom.com/wiki/The_Chase_to_Glintshore/Transcript	1	67	5518
Cloak_and_Dagger	https://criticalrole.fandom.com/wiki/Cloak_and_Dagger/Transcript	1	68	5567
Passed_Through_Fire	https://criticalrole.fandom.com/wiki/Passed_Through_Fire/Transcript	1	69	5708
Trust	https://criticalrole.fandom.com/wiki/Trust/Transcript	1	70	5822
Vorugal	https://criticalrole.fandom.com/wiki/Vorugal/Transcript	1	71	6048
The_Elephant_in_the_Room	https://criticalrole.fandom.com/wiki/The_Elephant_in_the_Room/Transcript	1	72	6228
The_Coming_Storm	https://criticalrole.fandom.com/wiki/The_Coming_Storm/Transcript	1	73	6288
Path_of_Brass	https://criticalrole.fandom.com/wiki/Path_of_Brass/Transcript	1	74	6314
Where_the_Cards_Fall	https://criticalrole.fandom.com/wiki/Where_the_Cards_Fall/Transcript	1	75	6369
